,BR12,BR16,BR13,BR29,BR23,BR21,BR51,BR50,BR31,BR15,BR41,BR22,BR43,BR11,BR14,BR42,BR35,BR17,BR25,BR27,BR32,BR53
1985-12-01,250.44379,318.4367,305.82553,306.74146,161.54034,294.76688,245.35324,98.21233,274.34558,359.7399,72.02903,366.06,54.15052,311.3152,73.19988,74.14956,126.26432,402.3939,61.84824,99.277596,167.1015,284.93414
1986-01-01,226.35764,298.47787,289.95825,103.865906,101.35259,185.65007,309.9611,194.49773,241.20767,259.8334,156.26273,146.85919,107.83451,295.0935,76.85124,153.39186,171.55217,256.94983,83.51735,42.751698,126.90413,254.99771
1986-02-01,291.34326,278.04147,264.80804,85.44768,259.716,284.19186,245.18971,207.80519,163.09543,298.36136,209.84665,223.70288,120.203,248.37747,109.03549,154.3622,229.8774,236.0471,187.39484,92.81233,85.182686,191.79573
1986-03-01,323.38202,303.9336,309.10556,91.257454,459.95587,432.7468,233.91574,171.84451,90.77552,350.7651,106.51859,363.2107,166.80762,299.56577,83.01112,86.19768,204.2256,270.77228,347.10928,209.15306,67.99363,161.98369
1986-04-01,199.96297,286.79782,268.87222,59.169266,355.08783,359.62735,123.87334,56.818676,38.55603,313.76343,112.90521,194.09927,233.45981,148.50896,75.370735,162.7526,63.706738,179.27632,221.11029,126.91695,58.272854,63.88079
1986-05-01,150.13724,382.06836,252.34325,25.421638,128.49213,109.05493,68.44482,116.886765,42.73354,181.56749,180.89978,27.622631,197.66652,130.99341,279.5577,136.59718,106.386475,18.521488,91.05768,90.49401,38.534485,42.525578
1986-06-01,23.134245,316.66068,164.23723,34.764088,85.84349,73.97794,2.3049686,3.1524546,6.753332,131.4064,14.726209,10.224442,119.64342,6.598899,462.4405,34.56882,3.7651799,7.094223,76.21441,91.02092,23.97396,0.39447522
1986-07-01,36.242214,114.52645,170.86417,19.452944,22.156414,25.786587,9.154096,29.88347,33.061153,80.95687,34.818565,3.6194375,56.1373,15.649729,280.07596,54.916832,44.596268,4.79619,51.24904,99.842155,48.955086,13.08712
1986-08-01,93.679535,46.81897,93.830124,24.258022,12.795437,9.718109,59.941696,99.72341,54.82346,42.40148,141.95926,4.131152,128.26324,76.736244,116.86728,88.297714,113.95787,17.851444,41.67064,55.150425,69.52702,61.575523
1986-09-01,108.77636,49.81575,194.04376,17.171825,6.5053053,18.353361,69.34329,69.284325,13.760158,99.64691,99.90906,6.5384355,125.471054,102.442406,144.44554,144.64432,46.761353,25.783663,25.791376,45.59622,34.19149,37.461628
1986-10-01,147.64882,46.268032,238.87352,83.035484,9.960761,110.4904,161.23517,61.086193,51.389885,166.53487,87.5163,65.90825,144.73671,108.39166,180.58046,137.18849,67.43469,187.31155,10.310753,31.479395,36.535492,112.52005
1986-11-01,240.57047,141.26437,249.45663,80.351425,24.101223,75.86557,170.4173,124.39166,116.2248,140.0273,115.501175,53.848522,263.70444,211.56543,141.30913,181.25389,129.98618,146.67097,37.07156,57.24636,92.86877,131.90517
1986-12-01,298.9341,186.66382,237.15016,126.723404,17.119793,123.97945,265.5773,239.74228,300.30252,176.73637,193.0533,108.375145,59.045204,231.84407,50.09136,147.90742,318.914,215.79306,12.9658985,32.789886,201.77348,326.0066
1987-01-01,290.0971,291.24646,271.3943,53.842545,60.573532,124.457634,240.56824,241.1155,175.59505,207.36401,149.2031,117.241196,145.94919,308.5902,51.21045,198.22423,269.63754,169.21574,33.2855,46.19451,146.26826,193.3561
1987-02-01,232.81396,242.74202,301.6285,44.06766,103.85904,167.65674,198.34259,147.76036,92.134575,207.13652,194.25291,125.63059,114.57201,223.4065,47.857082,192.6129,180.79655,170.33833,86.461075,54.807995,61.58857,166.1354
1987-03-01,199.08083,181.85265,252.41061,177.69633,369.35806,386.1274,244.52141,136.57225,154.57635,327.39673,46.913673,340.32593,147.33554,276.7176,103.31279,50.74759,96.92415,350.10446,238.20023,176.58635,164.27711,226.01309
1987-04-01,215.61942,342.92874,358.00894,81.95989,106.413734,146.30742,115.440926,90.68894,103.69184,254.14444,126.07096,91.3416,220.65327,179.64569,273.47778,154.66367,92.00279,113.99572,97.222984,89.43262,95.066025,109.812584
1987-05-01,69.751595,299.00076,186.62587,40.992977,32.394,67.50766,37.501617,101.897934,32.407516,145.52963,267.9676,32.922115,157.17198,46.85503,283.9132,258.61362,161.65561,25.814226,23.991875,43.87164,42.284164,19.199232
1987-06-01,49.086388,190.90349,162.30905,24.21761,69.871216,50.099155,18.062212,46.326996,12.895899,88.58596,114.97278,14.913237,99.14012,52.322315,224.04662,113.78296,87.92568,1.7543463,72.888115,89.85521,40.983177,7.5843062
1987-07-01,29.241892,151.10844,110.91998,18.54186,12.551293,13.337094,1.0327454,15.6422825,4.692185,49.53628,61.372265,0.9665886,267.3762,4.8317404,215.86606,113.15783,20.630291,0.15020697,50.27462,76.485275,15.954479,0.32989138
1987-08-01,44.6312,51.31866,115.047325,9.9329605,1.4578565,16.016417,5.758076,24.8919,4.6790867,62.460384,43.193226,2.4480903,188.92369,18.262684,205.95755,114.24847,16.691484,7.918943,9.73434,37.624485,10.535708,4.8289375
1987-09-01,87.94378,44.262695,142.95256,24.200993,2.393557,19.638762,43.409668,39.066822,63.610332,80.694916,69.342064,17.755215,135.05237,61.237404,133.24693,87.14544,86.237045,51.074364,5.779376,10.970654,72.22905,44.388184
1987-10-01,161.16895,27.13453,165.69016,26.975422,1.7288219,41.03639,130.87837,159.5487,83.30861,88.55273,122.6519,38.392624,115.924736,173.13358,94.10416,202.86784,105.820694,100.73885,2.8254604,10.174045,71.81489,140.89154
1987-11-01,262.12302,16.44341,204.76479,142.03636,1.8704978,73.01158,237.50487,173.95326,185.25105,89.95221,148.50319,90.469376,97.472984,239.86594,57.549225,81.17505,153.16489,242.38875,1.7430001,8.14803,167.62134,238.43793
1987-12-01,249.93562,124.979675,240.92989,156.22339,2.8326547,93.543144,303.16623,188.76274,320.2334,145.51634,115.41721,93.54753,101.00532,243.01936,45.905243,141.91249,165.446,290.83246,1.3656425,12.366222,194.8515,324.56436
1988-01-01,239.52809,261.46863,321.68814,100.73005,120.83393,248.01187,275.81616,188.62798,147.06589,263.61508,137.19748,191.81233,198.3351,297.81186,76.41749,170.05324,221.19951,228.3244,35.20559,53.401016,114.93318,198.72589
1988-02-01,269.7498,279.0792,316.04135,79.19759,135.78119,247.92764,338.76944,201.1745,221.16771,337.52786,118.55312,168.91588,67.97954,321.98764,65.179985,120.36166,231.60434,272.53314,75.68352,49.642895,147.25124,298.37344
1988-03-01,251.50949,223.76338,227.10176,185.27039,302.4168,369.79428,314.24872,208.60713,155.2986,309.4012,66.55317,284.98578,57.40037,305.73828,27.50192,71.72839,164.71643,281.88602,204.52258,189.45213,130.76602,263.25217
1988-04-01,229.36002,328.6127,316.1297,96.66179,327.6787,341.61288,188.43225,138.10837,83.287155,321.74277,138.73169,246.12886,117.27015,202.92598,68.4085,154.34926,130.36533,195.93542,221.8701,171.09094,88.33934,125.432434
1988-05-01,120.28419,517.983,294.4001,25.32435,160.72787,131.71379,33.785236,76.93442,27.293978,246.77917,217.61703,31.213964,49.389423,57.254894,278.962,216.38695,122.87107,17.065609,81.80213,53.159557,64.135376,18.413397
